text,category
Login keeps failing with an 'invalid credentials' message on my laptop and phone.,Account Access
Why does my session keep expiring so fast? asap please.,Account Access
Pages won't load—could it be a DNS problem? — please advise.,Technical Issue
how do i update my card details? on my laptop and phone.,Billing
My promo code didn't apply at checkout — please advise.,Billing
Experiencing packet loss while gaming on my laptop and phone.,Technical Issue
Do you offer a student discount? — any quick fix?,General Inquiry
How do I change my plan without extra charges? this week?,Billing
Pages won't load—could it be a DNS problem? asap please?,Technical Issue
I need to reactivate my account since this morning.,Account Access
I got locked out after too many attempts — please advise.,Account Access
How do I update the router firmware? since this morning?,Technical Issue
Can you provide a credit note for the overcharge? today.,Billing
How long does installation usually take? today?,General Inquiry
Experiencing packet loss while gaming on my laptop and phone?,Technical Issue
High latency during video calls since yesterday on my laptop and phone.,Technical Issue
Which features are included in the standard plan? today.,General Inquiry
Certain ports appear to be blocked on my network thanks.,Technical Issue
Do you have coverage in Gold Coast? for my account.,General Inquiry
My phone number isn't working and I can't sign in asap please.,Account Access
Pages won't load—could it be a DNS problem? this week.,Technical Issue
Is there an outage in Sydney? thanks.,Technical Issue
I need a tax invoice with ABN for my records this week.,Billing
How do I reset my OTP? thanks.,Account Access
I need a tax invoice with ABN for my records for my account.,Billing
I got locked out after too many attempts for my account.,Account Access
Which features are included in the standard plan? — please advise.,General Inquiry
My router keeps disconnecting every few minutes for my account.,Technical Issue
Which features are included in the standard plan? on my laptop and phone.,General Inquiry
I want to cancel my subscription before renewal — any quick fix?,Billing
Forgot my security and need access on my laptop and phone.,Account Access
Do you offer a student discount? asap please.,General Inquiry
What are your customer support hours? — any quick fix?,General Inquiry
Which features are included in the standard plan? for my account.,General Inquiry
Certain ports appear to be blocked on my network this week.,Technical Issue
Forgot my phone number and need access after the latest update.,Account Access
Payment failed but the money was deducted?,Billing
Pages won't load—could it be a DNS problem? — any quick fix?,Technical Issue
Please help me update my registered 2FA this week.,Account Access
Why does my session keep expiring so fast? on my laptop and phone.,Account Access
Wi‑Fi keeps dropping on multiple devices,Technical Issue
I need to reactivate my account this week.,Account Access
Please issue a refund for the mistaken charge asap please.,Billing
How do I change my plan without extra charges? — any quick fix?,Billing
Do you support international roaming? — any quick fix?,General Inquiry
I need a tax invoice with ABN for my records for my account.,Billing
Do you have coverage in Hobart? thanks.,General Inquiry
I'm not receiving the username code asap please.,Account Access
high latency during video calls since yesterday asap please.,Technical Issue
I need to reactivate my account,Account Access
I was charged twice for my subscription for my account.,Billing
Is service available at my address in Canberra? today.,General Inquiry
Certain ports appear to be blocked on my network for my account.,Technical Issue
Internet is not working in my area,Technical Issue
How do business accounts work for teams? after the latest update.,General Inquiry
Is there a free trial I can test first? after the latest update.,General Inquiry
Login keeps failing with an 'invalid credentials' message this week.,Account Access
i was charged twice for my subscription since this morning.,Billing
My promo code didn't apply at checkout thanks.,Billing
Can you provide a credit note for the overcharge? since this morning.,Billing
Internet is not working in my area on my laptop and phone?,Technical Issue
What are the contract terms—month‑to‑month or annual? since this morning?,General Inquiry
My promo code didn't apply at checkout thanks.,Billing
How do I change my plan without extra charges? today?,Billing
What are the prices and data limits for each plan? for my account.,General Inquiry
Do you offer a student discount? for my account.,General Inquiry
How do business accounts work for teams? for my account.,General Inquiry
I got locked out after too many attempts asap please.,Account Access
My promo code didn't apply at checkout after the latest update.,Billing
Certain ports appear to be blocked on my network after the latest update.,Technical Issue
I want to know about your plans — any quick fix?,General Inquiry
My invoice is incorrect for this month on my laptop and phone.,Billing
How do business accounts work for teams?,General Inquiry
I want to know about your plans after the latest update.,General Inquiry
Certain ports appear to be blocked on my network for my account.,Technical Issue
I'm not receiving the password code thanks.,Account Access
Pages won't load—could it be a DNS problem? on my laptop and phone.,Technical Issue
How do I reset my phone number? for my account.,Account Access
Payment failed but the money was deducted,Billing
Internet is not working in my area thanks.,Technical Issue
How do I update the router firmware? — any quick fix?,Technical Issue
Speed is very slow compared to my plan this week?,Technical Issue
My promo code didn't apply at checkout for my account.,Billing
I got locked out after too many attempts after the latest update.,Account Access
I was charged twice for my subscription thanks.,Billing
How do business accounts work for teams? on my laptop and phone.,General Inquiry
I want to cancel my subscription before renewal on my laptop and phone.,Billing
When does my billing cycle start and end? on my laptop and phone.,Billing
why does my session keep expiring so fast? since this morning.,Account Access
wi‑fi keeps dropping on multiple devices — any quick fix?,Technical Issue
i need to verify my account to sign in since this morning.,Account Access
Please help me update my registered 2FA thanks.,Account Access
Certain ports appear to be blocked on my network for my account?,Technical Issue
Please issue a refund for the mistaken charge today.,Billing
I'm getting error code APP-19 on login since this morning.,Technical Issue
Forgot my security and need access after the latest update.,Account Access
My 2FA isn't working and I can't sign in asap please?,Account Access
I need to reactivate my account today?,Account Access
Is there an outage in Canberra? for my account?,Technical Issue
Certain ports appear to be blocked on my network — any quick fix?,Technical Issue
Login keeps failing with an 'invalid credentials' message today.,Account Access
How long does installation usually take? after the latest update.,General Inquiry
I was charged twice for my subscription this week.,Billing
Do you have coverage in Gold Coast? — any quick fix?,General Inquiry
Which features are included in the standard plan? today.,General Inquiry
My promo code didn't apply at checkout on my laptop and phone.,Billing
How can I change my email address? on my laptop and phone.,Account Access
Can I get a copy of last month's invoice? on my laptop and phone.,Billing
My invoice is incorrect for this month since this morning.,Billing
I want to know about your plans thanks.,General Inquiry
I need to verify my account to sign in on my laptop and phone.,Account Access
How do I update my card details? for my account.,Billing
Do you have coverage in Sydney? on my laptop and phone.,General Inquiry
Can I get a copy of last month's invoice? asap please.,Billing
How do I update my card details? today?,Billing
Can you provide a credit note for the overcharge? asap please.,Billing
Do you have coverage in Brisbane? — please advise.,General Inquiry
Speed is very slow compared to my plan since this morning.,Technical Issue
Wi‑Fi keeps dropping on multiple devices for my account.,Technical Issue
Can I get a copy of last month's invoice? after the latest update.,Billing
Please help me update my registered 2FA — any quick fix?,Account Access
How do I reset my security? on my laptop and phone.,Account Access
how do i update my card details? on my laptop and phone.,Billing
I want to deactivate my account this week.,Account Access
I got locked out after too many attempts since this morning.,Account Access
Please help me update my registered 2FA today.,Account Access
I'm getting error code E500 on login this week.,Technical Issue
I'm getting error code AUTH-07 on login,Technical Issue
What are your customer support hours? on my laptop and phone.,General Inquiry
How long does installation usually take? on my laptop and phone?,General Inquiry
what are the prices and data limits for each plan? this week.,General Inquiry
I cannot log in to my account after the latest update.,Account Access
Internet is not working in my area asap please.,Technical Issue
Do you have coverage in Newcastle? on my laptop and phone.,General Inquiry
